
Crout Comp
Parallel LU , 1
Parallel MULT , 1
ROW_SIZE, 512
Err , RUN_COUNT
100 , 100
Run , LU_TIME, MULT_TIME, MoE
0 , 0.119812 , 0.088763 , 3.768462
1 , 0.098961 , 0.088833 , 0.154748
2 , 0.099060 , 0.088621 , 3.899670
3 , 0.099686 , 0.088494 , 0.413935
4 , 0.099967 , 0.088512 , 2.873106
5 , 0.100394 , 0.088337 , 0.413935
6 , 0.100057 , 0.088442 , 0.413935
7 , 0.099085 , 0.088536 , 225.315502
8 , 0.100173 , 0.088405 , 0.137806
9 , 0.099936 , 0.088901 , 4.074482
10 , 0.100047 , 0.088444 , 0.137806
11 , 0.100075 , 0.088625 , 0.137806
12 , 0.099786 , 0.088385 , 17.792471
13 , 0.099719 , 0.088654 , 0.396986
14 , 0.100024 , 0.088473 , 0.396986
15 , 0.099994 , 0.088800 , 16.851041
16 , 0.100024 , 0.088155 , 3.214430
17 , 0.100045 , 0.088286 , 0.396986
18 , 0.100002 , 0.089448 , 1.846542
19 , 0.100332 , 0.088669 , 2.477230
20 , 0.100021 , 0.088477 , 15.374760
21 , 0.100129 , 0.088731 , 0.120866
22 , 0.099942 , 0.088670 , 1.282301
23 , 0.100212 , 0.088911 , 0.380039
24 , 0.100128 , 0.088626 , 0.380039
25 , 0.099964 , 0.089518 , 0.380039
26 , 0.100037 , 0.088898 , 0.380039
27 , 0.100033 , 0.088736 , 0.380039
28 , 0.100118 , 0.088636 , 0.103927
29 , 0.100168 , 0.088614 , 0.103927
30 , 0.100067 , 0.088662 , 0.103927
31 , 0.100127 , 0.088525 , 15.101771
32 , 0.100057 , 0.088988 , 256.939651
33 , 0.100092 , 0.088381 , 14.759081
34 , 0.099980 , 0.088995 , 256.742755
35 , 0.099970 , 0.088739 , 1.544777
36 , 0.100186 , 0.088473 , 0.363092
37 , 0.100197 , 0.088395 , 0.363092
38 , 0.099892 , 0.088504 , 14.416391
39 , 0.099968 , 0.088668 , 1.402873
40 , 0.099990 , 0.088344 , 0.086989
41 , 0.100147 , 0.088490 , 0.086989
42 , 0.099937 , 0.088488 , 0.086989
43 , 0.100170 , 0.088456 , 0.086989
44 , 0.100246 , 0.088299 , 0.346147
45 , 0.100119 , 0.088492 , 0.346147
46 , 0.100139 , 0.088896 , 0.346147
47 , 0.100339 , 0.089096 , 5.426611
48 , 0.100172 , 0.088673 , 0.346147
49 , 0.099933 , 0.089028 , 0.070052
50 , 0.100085 , 0.088989 , 658.135684
51 , 0.100031 , 0.090149 , 255.724420
52 , 0.099010 , 0.088944 , 0.070052
53 , 0.099964 , 0.088589 , 0.070052
54 , 0.099723 , 0.088138 , 0.070052
55 , 0.100013 , 0.089002 , 0.329202
56 , 0.100154 , 0.088403 , 0.329202
57 , 0.099957 , 0.088823 , 0.329202
58 , 0.100093 , 0.088645 , 255.241770
59 , 0.100239 , 0.088711 , 4.495089
60 , 0.100052 , 0.088701 , 0.588345
61 , 0.099891 , 0.088679 , 254.937681
62 , 0.098526 , 0.088889 , 219.583164
63 , 0.100054 , 0.089161 , 3.955609
64 , 0.100065 , 0.088503 , 0.588345
65 , 0.100151 , 0.088367 , 0.312258
66 , 0.100005 , 0.089053 , 0.312258
67 , 0.099932 , 0.088211 , 0.312258
68 , 0.100161 , 0.088536 , 217.412229
69 , 0.099933 , 0.089396 , 254.812154
70 , 0.099878 , 0.088932 , 869.932944
71 , 0.099950 , 0.088314 , 216.422071
72 , 0.099790 , 0.088812 , 0.571394
73 , 0.100069 , 0.088675 , 0.571394
74 , 0.099892 , 0.088332 , 0.571394
75 , 0.100179 , 0.088586 , 869.106141
76 , 0.100096 , 0.088420 , 0.295316
77 , 0.099865 , 0.088882 , 0.295316
78 , 0.099767 , 0.088748 , 0.295316
79 , 0.099920 , 0.088953 , 0.295316
80 , 0.099978 , 0.088370 , 215.642217
81 , 0.100017 , 0.089265 , 251.917097
82 , 0.100286 , 0.088313 , 2.791608
83 , 0.100034 , 0.088103 , 0.554444
84 , 0.099818 , 0.088523 , 0.554444
85 , 0.099908 , 0.088387 , 7.559681
86 , 0.099858 , 0.088291 , 214.852520
87 , 0.099997 , 0.088479 , 1.995358
88 , 0.099904 , 0.088434 , 868.305951
89 , 0.100298 , 0.088851 , 0.278374
90 , 0.099979 , 0.089041 , 0.278374
91 , 0.099998 , 0.088227 , 0.855649
92 , 0.099900 , 0.088819 , 214.263286
93 , 0.100171 , 0.088539 , 251.273094
94 , 0.099784 , 0.088344 , 36.124875
95 , 0.100015 , 0.088738 , 0.537495
96 , 0.100202 , 0.088734 , 0.261434
97 , 0.100058 , 0.089237 , 249.164777
98 , 0.099690 , 0.088429 , 0.261434
99 , 0.099941 , 0.088540 , 212.885508
Run , LU_TIME, MULT_TIME, MoE
Err , RUN_COUNT
100 , 100
