
Crout Comp
Parallel LU , 1
Parallel MULT , 0
ROW_SIZE, 64
Err , RUN_COUNT
56 , 100
Run , LU_TIME, MULT_TIME, MoE
0 , 0.003947 , 0.002574 , 2.019371
1 , 0.003463 , 0.002073 , 0.200051
2 , 0.003809 , 0.002487 , 0.000000
3 , 0.003242 , 0.002053 , 0.000000
4 , 0.003226 , 0.001738 , 0.000000
5 , 0.003012 , 0.001736 , 0.000000
6 , 0.002707 , 0.001511 , 0.000000
7 , 0.002639 , 0.001504 , 0.000000
8 , 0.002220 , 0.001369 , 0.000000
9 , 0.002168 , 0.001231 , 2.257983
10 , 0.001979 , 0.001235 , 0.000000
11 , 0.002040 , 0.001277 , 0.000000
12 , 0.001882 , 0.001153 , 0.000000
13 , 0.001881 , 0.001137 , 0.482139
14 , 0.001832 , 0.001084 , 0.000000
15 , 0.001869 , 0.001118 , 0.482139
16 , 0.001811 , 0.001032 , 0.482139
17 , 0.001778 , 0.001033 , 0.482139
18 , 0.001774 , 0.000988 , 0.000000
19 , 0.001693 , 0.000988 , 0.000000
20 , 0.001720 , 0.000954 , 187.247693
21 , 0.001685 , 0.000954 , 0.482139
22 , 0.001658 , 0.000955 , 0.482139
23 , 0.001580 , 0.000922 , 0.482139
24 , 0.001588 , 0.000925 , 0.482139
25 , 0.001781 , 0.000899 , 0.482139
26 , 0.001900 , 0.000896 , 0.000000
27 , 0.001913 , 0.000917 , 0.482139
28 , 0.001896 , 0.000880 , 0.482139
29 , 0.001927 , 0.000879 , 0.482139
30 , 0.001898 , 0.000856 , 0.482139
31 , 0.001905 , 0.000875 , 0.482139
32 , 0.001922 , 0.000849 , 0.000000
33 , 0.001897 , 0.000856 , 0.482139
34 , 0.001896 , 0.000847 , 0.482139
35 , 0.001896 , 0.000853 , 0.482139
36 , 0.001898 , 0.000860 , 0.482139
37 , 0.001913 , 0.000856 , 0.482139
38 , 0.001882 , 0.000855 , 0.000000
39 , 0.001896 , 0.000875 , 0.000000
40 , 0.001906 , 0.000847 , 0.000000
41 , 0.001912 , 0.000856 , 0.000000
42 , 0.001905 , 0.000857 , 0.482139
43 , 0.001924 , 0.000858 , 0.482139
44 , 0.001903 , 0.000850 , 0.482139
45 , 0.001924 , 0.000858 , 0.000000
46 , 0.001906 , 0.000851 , 0.482139
47 , 0.001905 , 0.000853 , 0.482139
48 , 0.001920 , 0.000852 , 0.000000
49 , 0.001909 , 0.000859 , 0.482139
50 , 0.001930 , 0.000851 , 0.000000
51 , 0.001916 , 0.000852 , 0.482139
52 , 0.001880 , 0.000857 , 0.000000
53 , 0.001912 , 0.000859 , 0.482139
54 , 0.001901 , 0.000858 , 0.482139
55 , 0.001931 , 0.000890 , 0.482139
56 , 0.001909 , 0.000857 , 3.839221
57 , 0.001904 , 0.000853 , 0.000000
58 , 0.001890 , 0.000855 , 0.482139
59 , 0.001894 , 0.000852 , 0.000000
60 , 0.001926 , 0.000852 , 0.000000
61 , 0.001917 , 0.000853 , 0.482139
62 , 0.001911 , 0.000864 , 0.000000
63 , 0.001891 , 0.000846 , 0.482139
64 , 0.001913 , 0.000865 , 0.000000
65 , 0.001888 , 0.000860 , 0.000000
66 , 0.001920 , 0.000856 , 0.000000
67 , 0.001905 , 0.000857 , 0.482139
68 , 0.001912 , 0.000853 , 0.482139
69 , 0.001901 , 0.000856 , 0.000000
70 , 0.001910 , 0.000855 , 0.482139
71 , 0.001889 , 0.000859 , 0.482139
72 , 0.001913 , 0.000864 , 0.482139
73 , 0.001920 , 0.000856 , 0.482139
74 , 0.001901 , 0.000849 , 0.000000
75 , 0.001907 , 0.000847 , 0.482139
76 , 0.001932 , 0.000857 , 0.000000
77 , 0.001910 , 0.000859 , 0.482139
78 , 0.001936 , 0.000851 , 0.000000
79 , 0.001913 , 0.000855 , 0.000000
80 , 0.001890 , 0.000852 , 0.000000
81 , 0.001889 , 0.000867 , 0.000000
82 , 0.001923 , 0.000857 , 0.482139
83 , 0.001911 , 0.000907 , 0.000000
84 , 0.001903 , 0.000861 , 0.482139
85 , 0.001923 , 0.000845 , 0.000000
86 , 0.001884 , 0.000845 , 0.482139
87 , 0.001897 , 0.000857 , 5.052445
88 , 0.001911 , 0.000860 , 0.482139
89 , 0.001926 , 0.000853 , 0.482139
90 , 0.001918 , 0.000849 , 0.000000
91 , 0.001912 , 0.000848 , 0.482139
92 , 0.001900 , 0.000852 , 0.482139
93 , 0.001915 , 0.000856 , 0.482139
94 , 0.001916 , 0.000856 , 0.482139
95 , 0.001913 , 0.000847 , 0.000000
96 , 0.001925 , 0.000851 , 0.482139
97 , 0.001899 , 0.000849 , 0.000000
98 , 0.001898 , 0.000884 , 0.000000
99 , 0.001899 , 0.000856 , 0.000000
Run , LU_TIME, MULT_TIME, MoE
Err , RUN_COUNT
56 , 100
