
Crout Comp
Parallel LU , 0
Parallel MULT , 1
ROW_SIZE, 64
Err , RUN_COUNT
0 , 100
Run , LU_TIME, MULT_TIME, MoE
0 , 0.000917 , 0.001514 , 0.000000
1 , 0.000905 , 0.001418 , 0.000000
2 , 0.000917 , 0.001345 , 0.000000
3 , 0.000801 , 0.001176 , 0.000000
4 , 0.000720 , 0.001349 , 0.000000
5 , 0.000826 , 0.001565 , 0.000000
6 , 0.000826 , 0.001425 , 0.000000
7 , 0.000829 , 0.001426 , 0.000000
8 , 0.000672 , 0.001185 , 0.000000
9 , 0.000670 , 0.001120 , 0.000000
10 , 0.000700 , 0.001117 , 0.000000
11 , 0.000568 , 0.000973 , 0.000000
12 , 0.000568 , 0.000965 , 0.000000
13 , 0.000583 , 0.000960 , 0.000000
14 , 0.000571 , 0.000882 , 0.000000
15 , 0.000568 , 0.000901 , 0.000000
16 , 0.000494 , 0.000751 , 0.000000
17 , 0.000494 , 0.000833 , 0.000000
18 , 0.000532 , 0.000771 , 0.000000
19 , 0.000492 , 0.000751 , 0.000000
20 , 0.000495 , 0.000795 , 0.000000
21 , 0.000493 , 0.000703 , 0.000000
22 , 0.000439 , 0.000681 , 0.000000
23 , 0.000442 , 0.000688 , 0.000000
24 , 0.000439 , 0.000698 , 0.000000
25 , 0.000438 , 0.000724 , 0.000000
26 , 0.000439 , 0.000686 , 0.000000
27 , 0.000408 , 0.000648 , 0.000000
28 , 0.000407 , 0.000675 , 0.000000
29 , 0.000404 , 0.000654 , 0.000000
30 , 0.000404 , 0.000670 , 0.000000
31 , 0.000404 , 0.000654 , 0.000000
32 , 0.000403 , 0.000669 , 0.000000
33 , 0.000399 , 0.000622 , 0.000000
34 , 0.000378 , 0.000588 , 0.000000
35 , 0.000377 , 0.000599 , 0.000000
36 , 0.000377 , 0.000581 , 0.000000
37 , 0.000377 , 0.000568 , 0.000000
38 , 0.000377 , 0.000585 , 0.000000
39 , 0.000359 , 0.000608 , 0.000000
40 , 0.000356 , 0.000594 , 0.000000
41 , 0.000378 , 0.000592 , 0.000000
42 , 0.000359 , 0.000594 , 0.000000
43 , 0.000355 , 0.000609 , 0.000000
44 , 0.000355 , 0.000602 , 0.000000
45 , 0.000355 , 0.000590 , 0.000000
46 , 0.000356 , 0.000582 , 0.000000
47 , 0.000338 , 0.000535 , 0.000000
48 , 0.000338 , 0.000543 , 0.000000
49 , 0.000338 , 0.000556 , 0.000000
50 , 0.000337 , 0.000580 , 0.000000
51 , 0.000338 , 0.000565 , 0.000000
52 , 0.000341 , 0.000575 , 0.000000
53 , 0.000325 , 0.000568 , 0.000000
54 , 0.000324 , 0.000555 , 0.000000
55 , 0.000328 , 0.000549 , 0.000000
56 , 0.000324 , 0.000565 , 0.000000
57 , 0.000325 , 0.000583 , 0.000000
58 , 0.000313 , 0.000573 , 0.000000
59 , 0.000317 , 0.000576 , 0.000000
60 , 0.000313 , 0.000576 , 0.000000
61 , 0.000336 , 0.000532 , 0.000000
62 , 0.000313 , 0.000532 , 0.000000
63 , 0.000313 , 0.000548 , 0.000000
64 , 0.000312 , 0.000534 , 0.000000
65 , 0.000313 , 0.000555 , 0.000000
66 , 0.000302 , 0.000539 , 0.000000
67 , 0.000302 , 0.000531 , 0.000000
68 , 0.000302 , 0.000526 , 0.000000
69 , 0.000302 , 0.000549 , 0.000000
70 , 0.000306 , 0.000536 , 0.000000
71 , 0.000301 , 0.000525 , 0.000000
72 , 0.000302 , 0.000551 , 0.000000
73 , 0.000290 , 0.000546 , 0.000000
74 , 0.000291 , 0.000557 , 0.000000
75 , 0.000292 , 0.000529 , 0.000000
76 , 0.000292 , 0.000585 , 0.000000
77 , 0.000292 , 0.000544 , 0.000000
78 , 0.000295 , 0.000519 , 0.000000
79 , 0.000291 , 0.000508 , 0.000000
80 , 0.000291 , 0.000541 , 0.000000
81 , 0.000293 , 0.000560 , 0.000000
82 , 0.000285 , 0.000533 , 0.000000
83 , 0.000284 , 0.000539 , 0.000000
84 , 0.000284 , 0.000548 , 0.000000
85 , 0.000284 , 0.000565 , 0.000000
86 , 0.000284 , 0.000538 , 0.000000
87 , 0.000284 , 0.000550 , 0.000000
88 , 0.000276 , 0.000549 , 0.000000
89 , 0.000276 , 0.000538 , 0.000000
90 , 0.000280 , 0.000582 , 0.000000
91 , 0.000276 , 0.000552 , 0.000000
92 , 0.000276 , 0.000553 , 0.000000
93 , 0.000277 , 0.000583 , 0.000000
94 , 0.000278 , 0.000549 , 0.000000
95 , 0.000276 , 0.000549 , 0.000000
96 , 0.000276 , 0.000534 , 0.000000
97 , 0.000280 , 0.000555 , 0.000000
98 , 0.000276 , 0.000559 , 0.000000
99 , 0.000280 , 0.000558 , 0.000000
Run , LU_TIME, MULT_TIME, MoE
Err , RUN_COUNT
0 , 100
