
Crout Comp
Parallel LU , 0
Parallel MULT , 0
ROW_SIZE, 256
Err , RUN_COUNT
98 , 100
Run , LU_TIME, MULT_TIME, MoE
0 , 0.045204 , 0.103644 , 0.000000
1 , 0.034531 , 0.103800 , 0.000000
2 , 0.034719 , 0.104304 , 288.437943
3 , 0.034464 , 0.103593 , 47.558184
4 , 0.034380 , 0.103585 , 47.558184
5 , 0.034371 , 0.103429 , 47.558184
6 , 0.034249 , 0.103591 , 47.558184
7 , 0.034336 , 0.103472 , 47.558184
8 , 0.034287 , 0.103269 , 47.558184
9 , 0.034304 , 0.103332 , 47.558184
10 , 0.034323 , 0.103450 , 0.070490
11 , 0.034342 , 0.103426 , 0.084424
12 , 0.034327 , 0.103255 , 0.084424
13 , 0.034290 , 0.103414 , 0.084424
14 , 0.034287 , 0.103435 , 0.084424
15 , 0.034286 , 0.103356 , 0.084424
16 , 0.034285 , 0.103215 , 0.084424
17 , 0.034301 , 0.103431 , 144.766489
18 , 0.034333 , 0.103307 , 225.809520
19 , 0.034300 , 0.103370 , 225.809520
20 , 0.034289 , 0.103361 , 225.809520
21 , 0.034270 , 0.103487 , 225.809520
22 , 0.034304 , 0.103369 , 225.809520
23 , 0.034258 , 0.103372 , 225.809520
24 , 0.034318 , 0.103262 , 0.324117
25 , 0.034395 , 0.103359 , 761.435110
26 , 0.034339 , 0.103339 , 761.435110
27 , 0.034293 , 0.103352 , 761.435110
28 , 0.034291 , 0.103368 , 761.435110
29 , 0.034269 , 0.103349 , 761.435110
30 , 0.034267 , 0.103354 , 761.435110
31 , 0.034295 , 0.103347 , 760.812513
32 , 0.034313 , 0.103325 , 95.608343
33 , 0.034317 , 0.103404 , 95.608343
34 , 0.034272 , 0.103340 , 95.608343
35 , 0.034304 , 0.103443 , 95.608343
36 , 0.034355 , 0.103328 , 95.608343
37 , 0.034286 , 0.103266 , 95.608343
38 , 0.034348 , 0.103356 , 95.608343
39 , 0.034324 , 0.103402 , 17.994433
40 , 0.034318 , 0.103331 , 128.350205
41 , 0.034311 , 0.103343 , 128.350205
42 , 0.034233 , 0.103459 , 128.350205
43 , 0.034545 , 0.103454 , 128.350205
44 , 0.034373 , 0.103193 , 128.350205
45 , 0.034316 , 0.103413 , 128.350205
46 , 0.034293 , 0.103376 , 0.008544
47 , 0.034253 , 0.103434 , 0.012023
48 , 0.034303 , 0.103310 , 0.012023
49 , 0.034254 , 0.103368 , 0.012023
50 , 0.034269 , 0.103421 , 0.012023
51 , 0.034361 , 0.103372 , 0.012023
52 , 0.034332 , 0.103369 , 0.012023
53 , 0.034330 , 0.103363 , 0.136229
54 , 0.034335 , 0.103359 , 0.175640
55 , 0.034303 , 0.103410 , 0.175640
56 , 0.034254 , 0.103222 , 0.175640
57 , 0.034284 , 0.103354 , 0.175640
58 , 0.034295 , 0.103429 , 0.175640
59 , 0.034267 , 0.103339 , 0.175640
60 , 0.034300 , 0.103217 , 513.160939
61 , 0.034374 , 0.103351 , 37.902378
62 , 0.034335 , 0.103479 , 37.902378
63 , 0.034318 , 0.103419 , 37.902378
64 , 0.034306 , 0.103310 , 37.902378
65 , 0.034250 , 0.103574 , 37.902378
66 , 0.034264 , 0.103376 , 37.902378
67 , 0.034312 , 0.103589 , 38.124735
68 , 0.034257 , 0.103320 , 29.936415
69 , 0.034258 , 0.103463 , 29.936415
70 , 0.034317 , 0.103350 , 29.936415
71 , 0.034383 , 0.103284 , 29.936415
72 , 0.034361 , 0.103217 , 29.936415
73 , 0.034305 , 0.103668 , 29.936415
74 , 0.034305 , 0.103534 , 29.936415
75 , 0.034283 , 0.103603 , 30.305385
76 , 0.034255 , 0.103322 , 120.798097
77 , 0.034274 , 0.103461 , 120.798097
78 , 0.034324 , 0.103360 , 120.798097
79 , 0.034275 , 0.103363 , 120.798097
80 , 0.034354 , 0.103230 , 120.798097
81 , 0.034264 , 0.103356 , 120.798097
82 , 0.034304 , 0.103600 , 0.234134
83 , 0.034466 , 0.103380 , 0.026824
84 , 0.034374 , 0.103354 , 0.026824
85 , 0.034286 , 0.103482 , 0.026824
86 , 0.034317 , 0.103392 , 0.026824
87 , 0.034310 , 0.103367 , 0.026824
88 , 0.034327 , 0.103324 , 0.026824
89 , 0.034388 , 0.103352 , 82.206854
90 , 0.034290 , 0.103428 , 81.396567
91 , 0.034295 , 0.103462 , 81.396567
92 , 0.034309 , 0.103297 , 81.396567
93 , 0.034284 , 0.103582 , 81.396567
94 , 0.034327 , 0.103486 , 81.396567
95 , 0.034270 , 0.103390 , 81.396567
96 , 0.034341 , 0.103321 , 85.651201
97 , 0.034313 , 0.103364 , 1430.459825
98 , 0.034256 , 0.103333 , 1430.459825
99 , 0.034330 , 0.103342 , 1430.459825
Run , LU_TIME, MULT_TIME, MoE
Err , RUN_COUNT
98 , 100
