
Crout Comp
Parallel LU , 1
Parallel MULT , 1
ROW_SIZE, 128
Err , RUN_COUNT
98 , 100
Run , LU_TIME, MULT_TIME, MoE
0 , 0.010721 , 0.004316 , 2.828263
1 , 0.009234 , 0.002983 , 0.000000
2 , 0.007258 , 0.002948 , 0.000000
3 , 0.005450 , 0.002372 , 1.121106
4 , 0.004658 , 0.002351 , 0.004138
5 , 0.004407 , 0.002069 , 0.004138
6 , 0.004134 , 0.002732 , 0.004138
7 , 0.003912 , 0.001955 , 23.376389
8 , 0.003740 , 0.002495 , 11.166601
9 , 0.003619 , 0.002178 , 0.205257
10 , 0.003514 , 0.002245 , 39.437664
11 , 0.003877 , 0.002211 , 1.488122
12 , 0.004177 , 0.002286 , 0.004138
13 , 0.004156 , 0.002198 , 112.084343
14 , 0.004201 , 0.002261 , 24.793116
15 , 0.004189 , 0.002166 , 39.200127
16 , 0.004180 , 0.001849 , 0.004138
17 , 0.004268 , 0.002301 , 21.387811
18 , 0.004187 , 0.002347 , 38.660291
19 , 0.004180 , 0.002136 , 40.686837
20 , 0.004178 , 0.002058 , 8.596586
21 , 0.004215 , 0.002260 , 62.454027
22 , 0.004208 , 0.002214 , 6.140919
23 , 0.004183 , 0.002187 , 0.036331
24 , 0.004184 , 0.001944 , 7.491394
25 , 0.004185 , 0.002420 , 0.048345
26 , 0.004203 , 0.002511 , 17.948616
27 , 0.004189 , 0.002551 , 28.114601
28 , 0.004205 , 0.002486 , 36.716256
29 , 0.004208 , 0.002432 , 21.800555
30 , 0.004178 , 0.002535 , 0.048345
31 , 0.004249 , 0.002495 , 14.935579
32 , 0.004211 , 0.002562 , 0.048345
33 , 0.004188 , 0.001953 , 29.466186
34 , 0.004253 , 0.002200 , 22.382822
35 , 0.004268 , 0.001924 , 0.048345
36 , 0.004234 , 0.002017 , 20.025118
37 , 0.004250 , 0.002168 , 9.302011
38 , 0.004238 , 0.002197 , 30.388061
39 , 0.004225 , 0.002287 , 0.048345
40 , 0.004194 , 0.001955 , 53.069086
41 , 0.004215 , 0.002283 , 0.577154
42 , 0.004168 , 0.002074 , 4.440160
43 , 0.004213 , 0.002145 , 10.265389
44 , 0.004192 , 0.002230 , 10.817778
45 , 0.004166 , 0.002224 , 9.314206
46 , 0.004221 , 0.002149 , 19.638440
47 , 0.004225 , 0.002222 , 9.531415
48 , 0.004175 , 0.002088 , 0.048345
49 , 0.004207 , 0.002087 , 5.556181
50 , 0.004193 , 0.001886 , 17.006439
51 , 0.004274 , 0.002203 , 1.639436
52 , 0.004266 , 0.002076 , 0.048345
53 , 0.004228 , 0.002322 , 17.230092
54 , 0.004247 , 0.002198 , 39.316554
55 , 0.004215 , 0.002083 , 0.048345
56 , 0.004267 , 0.002291 , 6.785288
57 , 0.004205 , 0.002046 , 62.597107
58 , 0.004209 , 0.002256 , 21.800555
59 , 0.004236 , 0.002206 , 3.480167
60 , 0.004203 , 0.002204 , 2.748877
61 , 0.004206 , 0.002383 , 30.838628
62 , 0.004264 , 0.002301 , 26.688227
63 , 0.004320 , 0.002190 , 46.284168
64 , 0.004169 , 0.002202 , 0.048345
65 , 0.004228 , 0.002310 , 17.523785
66 , 0.004207 , 0.001982 , 0.887621
67 , 0.004207 , 0.001965 , 0.048345
68 , 0.004210 , 0.001935 , 0.048345
69 , 0.004254 , 0.002389 , 20.784966
70 , 0.004191 , 0.002068 , 17.401875
71 , 0.004185 , 0.001851 , 28.490897
72 , 0.004257 , 0.002106 , 13.323869
73 , 0.004257 , 0.002056 , 6.564163
74 , 0.004220 , 0.002331 , 27.025574
75 , 0.004238 , 0.002242 , 0.048345
76 , 0.004228 , 0.002207 , 0.048345
77 , 0.004186 , 0.001983 , 21.800555
78 , 0.004129 , 0.002342 , 0.048345
79 , 0.004187 , 0.002169 , 19.339892
80 , 0.004169 , 0.002265 , 0.877973
81 , 0.004181 , 0.002147 , 48.695988
82 , 0.004230 , 0.002153 , 6.722312
83 , 0.004218 , 0.002293 , 27.566648
84 , 0.004147 , 0.002034 , 19.520295
85 , 0.004229 , 0.002209 , 702.351585
86 , 0.004191 , 0.002314 , 0.048345
87 , 0.004264 , 0.002421 , 15.198659
88 , 0.004157 , 0.002017 , 0.966732
89 , 0.004174 , 0.002209 , 6.785288
90 , 0.004183 , 0.002130 , 21.046063
91 , 0.004219 , 0.002262 , 8.223070
92 , 0.004222 , 0.002440 , 23.114913
93 , 0.004184 , 0.002316 , 23.290774
94 , 0.004234 , 0.001980 , 44.157997
95 , 0.004175 , 0.001885 , 0.048345
96 , 0.004130 , 0.002242 , 0.059392
97 , 0.004115 , 0.002170 , 18.563437
98 , 0.004126 , 0.002173 , 29.142004
99 , 0.004156 , 0.002386 , 39.605607
Run , LU_TIME, MULT_TIME, MoE
Err , RUN_COUNT
98 , 100
