
Crout Comp
Parallel LU , 0
Parallel MULT , 1
ROW_SIZE, 2048
Err , RUN_COUNT
0 , 100
Run , LU_TIME, MULT_TIME, MoE
0 , 18.326922 , 16.130129 , 0.000000
1 , 18.394865 , 15.883505 , 0.000000
2 , 18.289697 , 15.448087 , 0.000000
3 , 18.231660 , 15.333094 , 0.000000
4 , 18.373006 , 16.122053 , 0.000000
5 , 18.532434 , 16.324305 , 0.000000
6 , 18.845132 , 16.270189 , 0.000000
7 , 18.573102 , 16.367806 , 0.000000
8 , 18.718814 , 16.329440 , 0.000000
9 , 18.638325 , 16.156326 , 0.000000
10 , 18.338570 , 16.363040 , 0.000000
11 , 18.350577 , 16.161386 , 0.000000
12 , 18.763493 , 16.665580 , 0.000000
13 , 18.213062 , 16.791905 , 0.000000
14 , 18.551612 , 15.861105 , 0.000000
15 , 18.271846 , 16.426859 , 0.000000
16 , 18.364597 , 16.652230 , 0.000000
17 , 18.603592 , 16.531948 , 0.000000
18 , 18.597471 , 22.422759 , 0.000000
19 , 20.710472 , 16.818812 , 0.000000
20 , 1004.247518 , 16.952896 , 0.000000
21 , 18.275993 , 16.432378 , 0.000000
22 , 18.330586 , 16.770871 , 0.000000
23 , 18.427466 , 16.011665 , 0.000000
24 , 18.556024 , 16.194313 , 0.000000
25 , 18.516107 , 16.508430 , 0.000000
26 , 18.513575 , 15.420983 , 0.000000
27 , 18.333828 , 16.799162 , 0.000000
28 , 18.315192 , 16.577379 , 0.000000
29 , 18.192753 , 15.414144 , 0.000000
30 , 18.563766 , 16.474562 , 0.000000
31 , 18.569828 , 16.715516 , 0.000000
32 , 18.147655 , 16.868008 , 0.000000
33 , 18.374063 , 15.170931 , 0.000000
34 , 18.563812 , 15.901445 , 0.000000
35 , 18.265987 , 15.370616 , 0.000000
36 , 18.430261 , 16.596153 , 0.000000
37 , 18.566016 , 16.655701 , 0.000000
38 , 18.274986 , 16.645241 , 0.000000
39 , 18.761147 , 16.174443 , 0.000000
40 , 18.291372 , 16.750212 , 0.000000
41 , 19.190289 , 26.372716 , 0.000000
42 , 971.961884 , 16.447483 , 0.000000
43 , 18.241909 , 16.466081 , 0.000000
44 , 18.078179 , 16.842498 , 0.000000
45 , 18.433965 , 16.529536 , 0.000000
46 , 18.213461 , 16.743127 , 0.000000
47 , 18.360624 , 16.782971 , 0.000000
48 , 18.142668 , 16.306272 , 0.000000
49 , 19.546797 , 16.497031 , 0.000000
50 , 18.471270 , 16.164141 , 0.000000
51 , 19.629998 , 16.527690 , 0.000000
52 , 18.160010 , 16.582381 , 0.000000
53 , 19.053829 , 17.033049 , 0.000000
54 , 18.563891 , 16.730861 , 0.000000
55 , 19.521791 , 16.625022 , 0.000000
56 , 18.553339 , 16.873629 , 0.000000
57 , 18.574293 , 17.074958 , 0.000000
58 , 18.469348 , 16.842201 , 0.000000
59 , 18.040660 , 16.918930 , 0.000000
60 , 18.550542 , 16.779810 , 0.000000
61 , 18.378818 , 16.931748 , 0.000000
62 , 18.641102 , 16.954943 , 0.000000
63 , 77.763368 , 16.818429 , 0.000000
64 , 18.399148 , 1006.720476 , 0.000000
65 , 18.179480 , 16.661176 , 0.000000
66 , 18.546098 , 16.532488 , 0.000000
67 , 18.879371 , 985.275136 , 0.000000
68 , 18.185980 , 16.023160 , 0.000000
69 , 917.018650 , 16.563017 , 0.000000
70 , 18.080102 , 15.878162 , 0.000000
71 , 18.507350 , 16.211628 , 0.000000
72 , 18.399701 , 16.265403 , 0.000000
73 , 18.261846 , 16.534090 , 0.000000
74 , 18.191332 , 16.498265 , 0.000000
75 , 18.428894 , 16.341394 , 0.000000
76 , 18.192462 , 16.369819 , 0.000000
77 , 18.404957 , 16.588207 , 0.000000
78 , 18.478345 , 16.825912 , 0.000000
79 , 18.635360 , 16.922584 , 0.000000
80 , 18.360448 , 16.763742 , 0.000000
81 , 18.810699 , 16.427992 , 0.000000
82 , 18.835928 , 16.682860 , 0.000000
83 , 18.842121 , 16.581613 , 0.000000
84 , 18.600313 , 16.837497 , 0.000000
85 , 18.393313 , 16.453804 , 0.000000
86 , 19.252442 , 17.097046 , 0.000000
87 , 18.621303 , 16.845542 , 0.000000
88 , 18.304886 , 17.142954 , 0.000000
89 , 18.043991 , 16.473235 , 0.000000
90 , 966.951598 , 16.324133 , 0.000000
91 , 18.288864 , 16.380989 , 0.000000
92 , 18.203509 , 16.328109 , 0.000000
93 , 18.060693 , 16.332138 , 0.000000
94 , 17.744356 , 15.993988 , 0.000000
95 , 1027.916774 , 16.304912 , 0.000000
96 , 987.698592 , 16.344694 , 0.000000
97 , 18.133139 , 953.999233 , 0.000000
98 , 18.071171 , 16.460484 , 0.000000
99 , 954.593146 , 16.631794 , 0.000000
Run , LU_TIME, MULT_TIME, MoE
Err , RUN_COUNT
0 , 100
