
Crout Comp
Parallel LU , 0
Parallel MULT , 1
ROW_SIZE, 512
Err , RUN_COUNT
0 , 100
Run , LU_TIME, MULT_TIME, MoE
0 , 0.195821 , 0.088411 , 0.000000
1 , 0.158948 , 0.089074 , 0.000000
2 , 0.161883 , 0.088352 , 0.000000
3 , 0.157088 , 0.088303 , 0.000000
4 , 0.158859 , 0.088767 , 0.000000
5 , 0.158851 , 0.088677 , 0.000000
6 , 0.158972 , 0.088486 , 0.000000
7 , 0.157030 , 0.088620 , 0.000000
8 , 0.158902 , 0.089474 , 0.000000
9 , 0.157553 , 0.088404 , 0.000000
10 , 0.158851 , 0.089008 , 0.000000
11 , 0.158700 , 0.088794 , 0.000000
12 , 0.158856 , 0.088887 , 0.000000
13 , 0.157268 , 0.089089 , 0.000000
14 , 0.158801 , 0.088789 , 0.000000
15 , 0.158706 , 0.088713 , 0.000000
16 , 0.158846 , 0.088662 , 0.000000
17 , 0.160841 , 0.088584 , 0.000000
18 , 0.158988 , 0.088830 , 0.000000
19 , 0.157142 , 0.088857 , 0.000000
20 , 0.156892 , 0.089738 , 0.000000
21 , 0.159225 , 0.088587 , 0.000000
22 , 0.161339 , 0.088814 , 0.000000
23 , 0.161785 , 0.088992 , 0.000000
24 , 0.156964 , 0.089095 , 0.000000
25 , 0.157027 , 0.088533 , 0.000000
26 , 0.157199 , 0.088688 , 0.000000
27 , 0.158892 , 0.088637 , 0.000000
28 , 0.163259 , 0.088332 , 0.000000
29 , 0.160588 , 0.088751 , 0.000000
30 , 0.163065 , 0.088941 , 0.000000
31 , 0.161404 , 0.088630 , 0.000000
32 , 0.161794 , 0.088780 , 0.000000
33 , 0.163411 , 0.088786 , 0.000000
34 , 0.162989 , 0.088657 , 0.000000
35 , 0.160823 , 0.088586 , 0.000000
36 , 0.158778 , 0.088786 , 0.000000
37 , 0.162312 , 0.088659 , 0.000000
38 , 0.163215 , 0.089086 , 0.000000
39 , 0.161496 , 0.088492 , 0.000000
40 , 0.160101 , 0.088609 , 0.000000
41 , 0.163507 , 0.088634 , 0.000000
42 , 0.163149 , 0.088475 , 0.000000
43 , 0.159959 , 0.088654 , 0.000000
44 , 0.163271 , 0.088680 , 0.000000
45 , 0.160357 , 0.088930 , 0.000000
46 , 0.161638 , 0.089460 , 0.000000
47 , 0.163174 , 0.088601 , 0.000000
48 , 0.163277 , 0.089340 , 0.000000
49 , 0.161387 , 0.089556 , 0.000000
50 , 0.163186 , 0.088917 , 0.000000
51 , 0.163349 , 0.088659 , 0.000000
52 , 0.161262 , 0.088359 , 0.000000
53 , 0.163113 , 0.088654 , 0.000000
54 , 0.161374 , 0.088556 , 0.000000
55 , 0.163250 , 0.088756 , 0.000000
56 , 0.161401 , 0.088644 , 0.000000
57 , 0.161178 , 0.088800 , 0.000000
58 , 0.161175 , 0.088601 , 0.000000
59 , 0.161476 , 0.089145 , 0.000000
60 , 0.161301 , 0.088943 , 0.000000
61 , 0.163259 , 0.088675 , 0.000000
62 , 0.161317 , 0.088944 , 0.000000
63 , 0.161330 , 0.088726 , 0.000000
64 , 0.161660 , 0.088636 , 0.000000
65 , 0.163133 , 0.088855 , 0.000000
66 , 0.163450 , 0.088848 , 0.000000
67 , 0.161456 , 0.088685 , 0.000000
68 , 0.163129 , 0.088804 , 0.000000
69 , 0.162938 , 0.089038 , 0.000000
70 , 0.161396 , 0.088839 , 0.000000
71 , 0.163174 , 0.088606 , 0.000000
72 , 0.163086 , 0.088894 , 0.000000
73 , 0.162816 , 0.089841 , 0.000000
74 , 0.163058 , 0.089109 , 0.000000
75 , 0.163080 , 0.089392 , 0.000000
76 , 0.161214 , 0.088787 , 0.000000
77 , 0.161327 , 0.088897 , 0.000000
78 , 0.163295 , 0.088497 , 0.000000
79 , 0.161283 , 0.089127 , 0.000000
80 , 0.161322 , 0.088651 , 0.000000
81 , 0.161297 , 0.088704 , 0.000000
82 , 0.161279 , 0.088788 , 0.000000
83 , 0.161392 , 0.089052 , 0.000000
84 , 0.161403 , 0.088579 , 0.000000
85 , 0.161490 , 0.088610 , 0.000000
86 , 0.161552 , 0.088701 , 0.000000
87 , 0.161347 , 0.088951 , 0.000000
88 , 0.161626 , 0.088634 , 0.000000
89 , 0.163331 , 0.088743 , 0.000000
90 , 0.163001 , 0.089060 , 0.000000
91 , 0.163057 , 0.088894 , 0.000000
92 , 0.162975 , 0.088933 , 0.000000
93 , 0.162994 , 0.088864 , 0.000000
94 , 0.161415 , 0.088900 , 0.000000
95 , 0.161256 , 0.088677 , 0.000000
96 , 0.162752 , 0.088863 , 0.000000
97 , 0.161379 , 0.088306 , 0.000000
98 , 0.161401 , 0.089005 , 0.000000
99 , 0.161165 , 0.088768 , 0.000000
Run , LU_TIME, MULT_TIME, MoE
Err , RUN_COUNT
0 , 100
