
Crout Comp
Parallel LU , 1
Parallel MULT , 0
ROW_SIZE, 16
Err , RUN_COUNT
42 , 100
Run , LU_TIME, MULT_TIME, MoE
0 , 0.001062 , 0.000043 , 0.000000
1 , 0.000837 , 0.000041 , 0.000000
2 , 0.000773 , 0.000042 , 0.000000
3 , 0.000795 , 0.000042 , 0.000000
4 , 0.000790 , 0.000043 , 0.000000
5 , 0.000765 , 0.000041 , 0.000000
6 , 0.000776 , 0.000041 , 0.000000
7 , 0.000751 , 0.000044 , 0.000000
8 , 0.000758 , 0.000041 , 0.000000
9 , 0.000846 , 0.000035 , 0.000000
10 , 0.000672 , 0.000037 , 0.000000
11 , 0.000686 , 0.000037 , 0.000000
12 , 0.000624 , 0.000033 , 0.000000
13 , 0.000669 , 0.000031 , 0.000000
14 , 0.000667 , 0.000033 , 0.000000
15 , 0.000958 , 0.000030 , 0.000000
16 , 0.000829 , 0.000034 , 0.000000
17 , 0.000850 , 0.000031 , 0.000000
18 , 0.000859 , 0.000034 , 0.000000
19 , 0.000833 , 0.000034 , 0.000000
20 , 0.000852 , 0.000034 , 0.000000
21 , 0.000847 , 0.000031 , 0.000000
22 , 0.000869 , 0.000031 , 0.000000
23 , 0.000813 , 0.000025 , 0.000000
24 , 0.000729 , 0.000030 , 0.000000
25 , 0.000729 , 0.000025 , 0.000000
26 , 0.000723 , 0.000025 , 0.000000
27 , 0.000711 , 0.000025 , 0.000000
28 , 0.000730 , 0.000025 , 0.000000
29 , 0.000679 , 0.000025 , 0.000000
30 , 0.000632 , 0.000025 , 0.237507
31 , 0.000651 , 0.000021 , 0.307648
32 , 0.000576 , 0.000021 , 0.000000
33 , 0.000604 , 0.000021 , 0.000000
34 , 0.000564 , 0.000021 , 0.001365
35 , 0.000570 , 0.000021 , 0.000000
36 , 0.000562 , 0.000021 , 0.000000
37 , 0.000557 , 0.000021 , 0.000000
38 , 0.000526 , 0.000021 , 0.000000
39 , 0.000499 , 0.000022 , 0.000000
40 , 0.000591 , 0.000024 , 2.234250
41 , 0.000518 , 0.000021 , 0.366165
42 , 0.000531 , 0.000022 , 0.306116
43 , 0.000511 , 0.000022 , 0.000000
44 , 0.000518 , 0.000021 , 0.000000
45 , 0.000528 , 0.000018 , 2.081434
46 , 0.000475 , 0.000018 , 0.141267
47 , 0.000472 , 0.000018 , 0.000000
48 , 0.000472 , 0.000018 , 0.595672
49 , 0.000483 , 0.000018 , 0.000000
50 , 0.000515 , 0.000018 , 0.000000
51 , 0.000462 , 0.000018 , 0.000000
52 , 0.000469 , 0.000018 , 0.000000
53 , 0.000465 , 0.000019 , 0.000000
54 , 0.000468 , 0.000019 , 0.000000
55 , 0.000462 , 0.000018 , 0.000000
56 , 0.000462 , 0.000019 , 0.000000
57 , 0.000453 , 0.000019 , 0.366165
58 , 0.000460 , 0.000018 , 0.000000
59 , 0.000463 , 0.000018 , 0.000000
60 , 0.000462 , 0.000018 , 0.000000
61 , 0.000453 , 0.000016 , 0.000000
62 , 0.000425 , 0.000016 , 0.528010
63 , 0.000425 , 0.000017 , 0.000000
64 , 0.000427 , 0.000016 , 0.237507
65 , 0.000420 , 0.000016 , 0.000000
66 , 0.000424 , 0.000016 , 0.000000
67 , 0.000425 , 0.000016 , 2.234250
68 , 0.000408 , 0.000016 , 0.000000
69 , 0.000406 , 0.000016 , 0.528010
70 , 0.000428 , 0.000016 , 0.001365
71 , 0.000439 , 0.000017 , 0.000000
72 , 0.000427 , 0.000016 , 0.307648
73 , 0.000414 , 0.000016 , 1.811006
74 , 0.000417 , 0.000016 , 0.000000
75 , 0.000373 , 0.000015 , 0.237507
76 , 0.000333 , 0.000015 , 0.237507
77 , 0.000341 , 0.000015 , 0.237507
78 , 0.000339 , 0.000015 , 0.237507
79 , 0.000353 , 0.000015 , 0.237507
80 , 0.000343 , 0.000015 , 0.237507
81 , 0.000383 , 0.000015 , 0.036102
82 , 0.000397 , 0.000015 , 0.237507
83 , 0.000404 , 0.000015 , 2.250590
84 , 0.000398 , 0.000015 , 0.237507
85 , 0.000378 , 0.000035 , 2.250590
86 , 0.000347 , 0.000015 , 0.237507
87 , 0.000350 , 0.000015 , 0.237507
88 , 0.000351 , 0.000015 , 0.237507
89 , 0.000335 , 0.000015 , 0.237507
90 , 0.000347 , 0.000015 , 0.237507
91 , 0.000351 , 0.000015 , 0.237507
92 , 0.000346 , 0.000015 , 0.237507
93 , 0.000351 , 0.000015 , 0.237507
94 , 0.000343 , 0.000015 , 0.237507
95 , 0.000341 , 0.000015 , 0.237507
96 , 0.000339 , 0.000014 , 0.237507
97 , 0.000321 , 0.000014 , 0.237507
98 , 0.000334 , 0.000014 , 0.237507
99 , 0.000322 , 0.000014 , 0.237507
Run , LU_TIME, MULT_TIME, MoE
Err , RUN_COUNT
42 , 100
